,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,电影评论\2021电影\1213261,热带往事,94,冲着颜值去，质感虽好，但属实看不懂,5,0,0,2,1630000000000.0,f8320b26d30ab433c5a54546d21f414c,cfcd208495d565ef66e7dff9f98764da,32403a9173e474c68460bad2f864e972,1,10,7,0,50.13,32.31,17.56,1620000000000.0,65195,1669849,"剧情,犯罪,悬疑"
1,1,电影评论\2021电影\1375543,盛夏未来,176,为了子枫也要打5星,10,0,0,3,1640000000000.0,f8320b26d30ab433c5a54546d21f414c,c4ca4238a0b923820dcc509a6f75849b,712d499e68a8e1a01873dc88e14a314f,8,16,8,0,76.86,22.08,1.06,1630000000000.0,933555,10423031,"剧情,青春"
2,1,电影评论\2021电影\1332432,拯救甜甜圈：时空大营救,809,挺q的 旁边家长带小孩看 家长比小孩还开心,8,0,0,2,1630000000000.0,f8320b26d30ab433c5a54546d21f414c,a87ff679a2f3e71d9181a67b7542122c,043c51b452fe5146693ba78a3f7a41eb,32,81,38,0,77.27,19.58,3.15,1630000000000.0,49433,1014161,"喜剧,动画,冒险"
3,1,电影评论\2021电影\1325487,沐浴之王,929,全程在睡觉，没怎么看,6,0,0,3,1630000000000.0,f8320b26d30ab433c5a54546d21f414c,8f14e45fceea167a5a36dedd4bea2543,72ebc3c9b3d5915ec5f9b86cc5382d75,1,10,4,0,75.05,16.82,8.13,1610000000000.0,91202,11832337,"喜剧,动作"
4,0,电影评论\2021电影\1322057,明天会好的,612,搞了半天 不知道演了啥,7,0,0,3,1620000000000.0,f8320b26d30ab433c5a54546d21f414c,8f14e45fceea167a5a36dedd4bea2543,1c6f3a97d0989c71421e94588ee603a0,5,12,3,0,40.84,37.53,21.63,1620000000000.0,155466,828128,"爱情,喜剧"
5,0,电影评论\2021电影\1378057,革命者,2,“人固有一死，或重于泰山或轻于鸿毛”，虽然李大钊用忠诚，爱国，英勇无畏换来的是敌人的残害，但是却无愧为一个革命烈士!他的壮烈之举以及他的精神值得我们敬畏，铭记，我们永远不会忘那个阴沉的日子是一个值得中华儿女骄傲的日子!,10,1100,7,3,1630000000000.0,f8320b26d30ab433c5a54546d21f414c,02e74f10e0327ad868d138f2b4fdd6f0,bb7ca1a1d796f4b716e3f9faaa112293,3,18,1,0,86.35,12.34,1.3,1630000000000.0,86332,3731426,"剧情,历史"
6,0,电影评论\2021电影\1278054,寻汉计,576,任素汐的演技没得说,9,0,0,3,1620000000000.0,f8320b26d30ab433c5a54546d21f414c,182be0c5cdcd5072bb1864cdee4d3d6e,58c7c6a212513ce38476f36f38945d1b,15,116,17,0,58.05,32.25,9.7,1620000000000.0,30559,110106,"喜剧,爱情"
7,0,电影评论\2021电影\1328693,五个扑水的少年,822,比较真实的青春校园片了，泳装帅哥我可以,10,0,0,3,1640000000000.0,f8320b26d30ab433c5a54546d21f414c,698d51a19d8a121ce581499d7b701668,22c4a534dcdcbf79a64e45c872bd69e3,0,11,3,0,89.46,6.86,3.67,1630000000000.0,147567,1678972,"剧情,喜剧,青春"
8,0,电影评论\2021电影\1360592,当男人恋爱时,802,就是最后男主死了不太满意！！！！！,9,0,0,2,1630000000000.0,f8320b26d30ab433c5a54546d21f414c,0777d5c17d4066b82ab86dff8a46af6f,65933f725be2b349aac40b5e97490239,0,4,2,0,69.47,20.0,10.53,1620000000000.0,56474,8156525,"爱情,剧情"
9,0,电影评论\2021电影\1298908,完美受害人,354,两个可怜的人互相救赎，电影不错,10,0,0,2,1630000000000.0,f8320b26d30ab433c5a54546d21f414c,d395771085aab05244a4fb8fd91bf4ee,d1b3b530fd7699866f607773776274a7,12,10,3,0,68.51,16.99,14.5,1620000000000.0,28102,432076,"悬疑,犯罪,剧情"
